acc,drs
SRR1601717,72ff6ff882ec447f12df018e6183de59
SRR1597753,3fb11e6617af0894bb042a815ded1405
SRR1601749,ed96d70f752e789048e7bdd31b7b9c07
SRR1601748,8bba96a2c2878db62d372daebccf48e1
SRR1597780,af737bc0a8d86f37fedf23bdd0953071
SRR1597738,bea52324a6454db212dd6511176a506f
SRR1597312,b136dc2942e12a4acfa350095a2dec91
SRR1603845,0ddddff5a6e3084feb5462c13a0ed35a
SRR1598319,46b48b38176f63e537894b91bfea26e5
SRR1598363,4a0156105d94af1ae2da49a4ba375933
SRR1604086,8cd7d185c79d204cbef0677e4e7962e8
SRR1598401,dce2660a5e9c808a26e3c1aadd693b9b
SRR1598130,904fe26595f4ba663ecbeb315ab419b9
SRR1606542,d483d1c527f21a4e03d38fc38065ba18
SRR1601346,41d0326a8300a95ec3ac6935f8e16868
SRR1604104,f342e120216f24501786ec788b909c96
SRR1598117,91aecc0788b39e99e6b6c02b5646c101
SRR1598160,53d530bf529c2b4844667f495786a006
SRR1598100,2fe71de701147170e723cf80fad0dd70
SRR1598555,d3fe199712b93269826f4a18fd8e8ed3
SRR1602769,4a108d0b47c6bcb236e9ace12557c4f9
SRR1602792,bbee2fc7d63ccfba741890e3e18c4f01
SRR1603254,0b5996e0fcaabcbd948b9e0fcbc953c2
SRR1603383,87b6d115f544fd248faf6c62c02bdb42
SRR1607017,4e84caf2bbf0204178acd8858f0ff048
SRR1601966,35f7a74857a3db9d8de82edf57281bae
SRR1604475,d185d9b0e1bc2914cf8b0634fbe44c42
SRR1603452,d10bf0dad68173c4c612cac2c0c6cf22
SRR1604492,2a5180cdd9e0271e4ee2519f9528f4dc
SRR1601255,fdd7d218cbcba44fc821d5170dceff71
SRR1603231,52351fd408deb72609347f6004d804dc
SRR1598007,4d3b8a8c9a1ca02ef2144fece6805f88
SRR1602008,567076b2dc21ded2654dfcd90dddda7e
SRR1598475,5ebdea91925377fd93d88a8509f0d299
SRR1597941,e767573756ed2919085904b124d5cd55
SRR1601141,620a83be05eb62ccbc2dda096f0eb023
SRR1603425,9c2e1b97a49d4e1888f810dd639a75f3
SRR1598480,520bc71f103d1ddc58ada39a0b38edb0
SRR1598455,8f39d07bdf92960e80ab02b5911e3bb3
SRR1601959,94a90c8996506f8dc7e82e3ef45465ed
SRR1597916,a1f9e5acde78002699228c4617292959
SRR1598040,322a7314a42cce6fb091c37ce3b2ff95
SRR1596680,ba2104a927c9224e66a929ed7fb0b0c0
SRR1605505,d0f87e12b75885042c9be6bffa5facac
SRR1606647,63acabb777e113717ef940bfac20e25f
SRR1603306,bffb0c9810b26f8a379df85b19dae3a0
SRR1606813,5c34b9c0828e64ef6314631d94bfc5cd
SRR1597611,039aa5ed3a46430d7dab9a62bb3f297d
SRR1597547,49229a22d01673828447085211d7fa77
SRR1597545,a66a9b613df27d13c167e5413c088910
SRR1607234,c9159b867d513e7d3efe55ced33d1fb1
SRR1607158,93b9d9699d20a31c25a2f2b7f83099f3
SRR1602255,13b81a5ec0f046029133d853addb80e0
SRR1606615,94796273bd8a7c7d62dc0a3bc4043531
SRR1605639,85805165bfaad13097790b2883aa837d
SRR1606508,c9473403b9de0a7caab9ca5e427ab59c
SRR1601704,868c3d902b588e3db7b201b470d98df7
SRR1600622,cec93201a908fe424fa6161d8537028a
SRR1602429,c7bafe23810001510aae381226518201
SRR1600624,048cf3177de2eede7973806cfbaaf8d0
SRR1600705,2090457e54167abcbf7692265d96d2ef
SRR1606457,a52079aa6a8cafdba9477af85b6846cd
SRR1606727,f51f353b408348d4d1aa7cdd5f9f7657
SRR1602340,e1d37264802dc6513099a1d5f1056119
SRR1601031,128373ac47c7d91b2b0b4dea9c5b0953
SRR1601063,d36700ca27c7157098761ad745122e5b
SRR1601595,12495f8034949de8ad1d3a19342ae876
SRR1606519,c85b787fc752feb045aa8c17f857952b
SRR1600958,7fcee848643f0fad9f8ed1fddade6fb8
SRR1604665,f02545c70330cadb8d5448d4522e1c71
SRR1604699,ff5fd9f68f58a1c6548a04b5b016ce0d
SRR1606396,ba18145d2f3fb55fa9481e999c7aadd5
SRR1597065,3a82f4834261d371b53806cf3de86996
SRR1596932,3184236ffcb29a775dfe49f2d8a9d027
SRR1596897,0f652f4d5734125f922a215ebf873a80
SRR1602185,25a578ddf76de43ce5641b0290ab4c1d
SRR1606611,f944395010b00a5964e9139a5315f4bc
SRR1607027,2093984cfa52d97fa1429700444f64b2
SRR1596876,02b748e65322dd19b7b66841698ccbc8
SRR1596839,5c98c1026cd7843ed7c7a448cdda43e1
SRR1606880,c9d82ba46f113fc775b68d279105bc22
SRR1600853,d8bfa61cb48f5a7fb3d1277471ec1407
SRR1597125,d40b61488eab65e61d45c2fb23b4cba9
SRR1597254,66ca0a149d7c5e00dc585d4e4d245d7d
SRR1597147,6895a830bab9a31d0af9b72593b94a96
SRR1597352,0f956f4b1c255141495865ab366e65da
SRR1606923,72744387171278bf2631b2c5f7f906b7
SRR1600091,deae4cbec2105ff0af6c916307a0fd33
SRR1605132,9b66a9ea2e944e8394fef63cda7abda9
SRR1605177,8b4396e0741e1637fa932f0166228089
SRR1597407,8f7fa81594f688a1b06e55ed69a94550
SRR1597560,610b40c9bc29395248d9567ccbe2fa0f
SRR1606496,0f9698659353f65951ab227cd8dec81d
SRR1600403,3d9b9eb86e0a56c013a9ae95549eaac1
SRR1600461,50b260b85948594360eeea0be2c79deb
SRR1596665,aac6fcfa71f8bb99804db1d486f8e7dd
SRR1596645,2d9f78a4dd5ded99d98e4abeefdaa475
SRR1596742,7b3d0b5b4ce88e4fb0c47058caeb912c
SRR1600377,3139acf6fc70e0d017f651fb21734a5c
SRR1596801,65c3ad655d4e5a2d51f167962acd8c41
SRR1604574,89b4a009716c73254de4f1c82700bff8
SRR1601879,def5502282ae00c8bd8a1a6f084c1c2b
SRR1601875,a4277bc2d4996e1c8c9c3299cc3224ac
SRR1597881,8de949f0de0799254a541886e1895982
SRR1601824,ec9875d84f81136ce39bb1412e0234ef
SRR1602157,921cc36e54b73d4adc8198bf600f95c0
SRR1602225,e2741870ebc45ed37e30273dab0b898e
SRR1606746,59ba1cad85bbebba6f0036f2a7fbcf8e
SRR1607167,7e510e1b45f9039cf1ba7a66d375773c
SRR1607205,c720bda87ff2c921e34a63742798d632
SRR1602161,4444eddba9221d16fa1724ebb8db77d3
SRR1605664,fd3072c5b9090443d5c557543c609915
SRR1601726,42012e3e4e28babb614a3f5b0c38f8cc
SRR1597350,be4625fae34b44f4921420bfbe4a3f2d
SRR1597761,ddf384ad8cd101c51b2b2ee47cff4c0c
SRR1598245,21e7d54db8a5b2f8cadc67b0ba96032f
SRR1606443,444bfa347686606611c1f5ae4ee74716
SRR1603600,6e22e809eefa1afc87e7ee2dc1d69290
SRR1603885,1d17e7e068df305ddfd68bef1a095aa5
SRR1603601,6ff2519302ef4280a3ae9d863a558c44
SRR1604573,16e07d9597a19e22885078ae9bcb9d2f
SRR1603262,48b4204be3018328a005c87e73852d4d
SRR1597936,d9944fab7474cb00b526e55e8b6c8e8f
SRR1603002,c116ffed3b45f3942feac41fe4ecf58d
SRR1606341,29769c5e444b81d6689cbb8eea7a2945
SRR1606931,c373aee1a1aaaf38bf454876320374a9
SRR1601921,d77f47874fb270c1d11c62a3f68b82d4
SRR1601970,b10f35bdb5b9f8123e148b6891971393
SRR1603948,b2a6d1b095645880dd658aac0d32786d
SRR1604472,71790679dbec2dd68875c39219d902a5
SRR1598467,a083092d2a0446854ad06a2c4a308721
SRR1601171,718a6c7d6dd09a1caf9e87c8a5a2d789
SRR1598073,de552be88bb45be014361d8028a35cbb
SRR1601154,bd336398915ef635a023fd2825bf29cc
SRR1598487,781b0b2770bf32510da1a3ef13bd9b9a
SRR1598605,8d87d8b2e60caeed051d5c293faf2589
SRR1600459,e066c2bf4e027ce75d5af0d85c4fe94e
SRR1605550,01c1def6db64c5046d3a1ff043aa735b
SRR1600203,445c6214ab55702046fa83550953e634
SRR1597626,ae589724e29e6784f179b04d2f4c4e6c
SRR1597627,358aa767b4f21952e1bb147623bbb64e
SRR1605529,5b85e651843444cf506a89471d0d8e7a
SRR1597506,f16ad669786fb1a46a83850503b410eb
SRR1597295,837483a9d5de4d08d54069ad28ed9d6e
SRR1597443,3b22e967f67f241db5ace568120b6e6e
SRR1601043,6aeed15ce329790f34a396ad9af68b24
SRR1606500,5fb65e761efab7c27399dd36ce5077d4
SRR1606681,8eea159c9ff9d60139209eba1019c4d3
SRR1606694,375d3a1a20ba33dac03a015f7e98479e
SRR1601681,474b684aa2a7b4142df3d9e9d94f497f
SRR1600796,f905c66dd340eafbc73e3f44e501bb9b
SRR1605592,be1bb587a966764adff67ae1499567c0
SRR1601573,0d6fae2dcb061247269187fab1d2a994
SRR1600988,7be2ca39ab944985a0ef93bad4991546
SRR1600697,5c7b85337a6e2407bb85b32584e60939
SRR1600609,98d831ed0c18de4521e3f2bc428344ee
SRR1602316,58f71c7ec80070280bae8c69a4f0299a
SRR1600750,994f4f09769f353089ffa2a3914d71c7
SRR1600748,c9de55a7a0e8d816646c6b18ad97408d
SRR1607181,5615101ecbfbe342bfad001925248712
SRR1601602,6dea97f7710e8f8102f24f34e5e680ac
SRR1606597,c6626d5b2a6955e1d4870967252f77fe
SRR1606989,44bccefa6f94821e864c8618906b213c
SRR1601609,2973313bcb0ac6f299b053f962bffeca
SRR1601381,55a6c7e77b8847600cfc48ed95eaefaa
SRR1606974,cd084d4a15a5469850be83b7a37d68e1
SRR1599675,104b6e7c3365d49c97c6b9402de5a8fd
SRR1596879,d120fcf798bc92c2c55d6707f66b5f8f
SRR1596981,e17cfc76129953526ee806324727190e
SRR1596933,8e2d9b91c7be7e9358f10d642effe852
SRR1599487,7fc26e89e190de332e886c0f44c05441
SRR1597085,20bb3f38f86fed9903896cff476003ce
SRR1597133,bd6dde59bc5cd4574713f47483c1d1e8
SRR1596913,18d369f1cb897ef08ec325b2e05bedaf
SRR1597013,ca0b168a87f291062fce0a282cbad318
SRR1597019,e239615420fcc9c1a66b1386d94c546f
SRR1597095,b0c5c574246dad7927db550f47a80d99
SRR1600857,c5a3bc817ecacd0979998852fe13fae4
SRR1597199,08b38f089da3ca3374b3f67a16c800a8
SRR1605128,828f4f3107e269d2bd45862bf6ec0845
SRR1597558,ac67bc32072734eeb6acc83d054af053
SRR1605202,1f20b402f8692d0f522fe9c0aec8869f
SRR1605135,1c9366ddf3c6c0cff38e446eb25e3fb2
SRR1605204,898126595e48a43a6144b1f3cb5eb5ef
SRR1601240,ccc4f9e82cea49331e78a415fda66bd8
SRR1597220,a3aa915072166967584cce46f98410c6
SRR1600029,33f0d209280dad47b3343a00072f8807
SRR1605165,86f4721b4ee6c1332faeddf735ee540f
SRR1597382,e895c9911305c23e31f4088e5b1fc2fe
SRR1597725,72485f2cecc55ff2d3489112802b5627
SRR1597675,35d84442ec7080379316118536d27edf
SRR1600524,99c2c4df5fbb98667e68bdd667196de7
SRR1599328,1eb2400aa8a69af80f3c8983b6e8fec0
SRR1596690,3cf9b70386e4944827d6be8a6abff57a
SRR1600399,ea5d10234706c7b8296d4ce4d8c86ad2
SRR1596713,a083b6643b1f8b0e440862a9ebad89f2
SRR1596686,3ee384ae7d43a12d38126994c6f7eb2c
SRR1605633,374bfba895a009b1b1de99782d48dce6
SRR1599284,060ba96b49b6889d9dfe5ac89f974112
SRR1602481,63fcfd82902d96c56faa738d71183aa1
SRR1596818,67644709dde7ed9dd0d7b9987315a270
SRR1599365,ca3d53f605bec5671641580b01a8fa07
SRR1607267,bf9ab8be11bf44145a802f47159c4ef2
SRR1598395,5c8f053389988722105676c4c3cba262
SRR1601814,2d10b64e1400091827d95c811ca75895
SRR1601863,3b69bafe082f559403ab21a06e172358
SRR1601768,66c0e28744a41c281942ba09a063e482
SRR1601830,fc64e4c545319f6339047e8e2a76793c
SRR1600620,27d9db718a83a6904670651621d7564e
SRR1605672,b3c8bb6380d0c77e3eb41557c0956cc5
SRR1602162,089ee16e5c46bc9940cd46db429c5ada
