acc	filename	drs_id	filetype	sample_name	mapped	sequencing_type
SRR1596638	HG00096.unmapped.ILLUMINA.bwa.GBR.exome.20120522.bam	37f0c2a65cc4b89d497d965332fa530b	bam	HG00096	unmapped	exome
SRR1596638	HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam	5d4ae7a46d470036d99429c363498965	bam	HG00096	mapped	exome
SRR1596696	HG00096.unmapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	21f4323f02d6d2a888a02bdfb24dc143	bam	HG00096	unmapped	low_coverage
SRR1596696	HG00096.mapped.ILLUMINA.bwa.GBR.low_coverage.20120522.bam	336ea55913bc261b72875bd259753046	bam	HG00096	mapped	low_coverage
SRR1600393	HG00097.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	77b7fddc9e9786de554aa0979b43216e	bam	HG00097	unmapped	low_coverage
SRR1600393	HG00097.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	fa829afdd7fe847039acca2fb77a1bbf	bam	HG00097	mapped	low_coverage
SRR1599293	HG00097.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	264e7f5b34208b39b68124bf5656137f	bam	HG00097	unmapped	exome
SRR1599293	HG00097.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	90e4366763fcb7a3ad8d5dea494416f2	bam	HG00097	mapped	exome
SRR1600395	HG00099.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam.bai	9c804e5e9c3321a02f559fcd796b1c42	bai	HG00099	mapped	low_coverage
SRR1600395	HG00099.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	7626e4caa33ef4ba1a3b3fe42c2d011c	bam	HG00099	unmapped	low_coverage
SRR1600395	HG00099.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	86b17aa376506c7d216c089867aae653	bam	HG00099	mapped	low_coverage
SRR1599294	HG00099.mapped.ILLUMINA.bwa.GBR.exome.20130415.bam	6bb99219688e8d1c4141f9e739b489b1	bam	HG00099	mapped	exome
SRR1599294	HG00099.unmapped.ILLUMINA.bwa.GBR.exome.20130415.bam	7a3d7cc213eec44b27d87b8ef79e52a4	bam	HG00099	unmapped	exome
SRR1599295	HG00100.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai	45377b330ac4c4c26dce112fbbd17d95	bai	HG00100	mapped	exome
SRR1599295	HG00100.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam	03355cb3117d5d6b889032f2a3ba2437	bam	HG00100	mapped	exome
SRR1599295	HG00100.unmapped.ILLUMINA.bwa.GBR.exome.20121211.bam	1e6c24247ce890756312a2075cdbb72b	bam	HG00100	unmapped	exome
SRR1600397	HG00100.mapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	0059376e1c3fa3c8d40dfc5002d9d148	bam	HG00100	mapped	low_coverage
SRR1600397	HG00100.unmapped.ILLUMINA.bwa.GBR.low_coverage.20130415.bam	025e9a3edc41f069c937a05f581d7137	bam	HG00100	unmapped	low_coverage
