task id,log,samtools,source,destination,file GB,,strategy,filename,file,note
8c043b3f-7c2d-4f56-85bc-c0852557c3b8,Y,view,AWS,AWS,15.4,,,d868593b-a60a-4686-9a9f-3086cc67b1a3.bam,UDN bam,
66db4fc1-23eb-499a-83ea-3ede2b3d920c,Y,index,GCP,AWS,16.8,,,2ac4_41fa.cram,ICAC cram,
16c0e503-8abd-48b5-af8d-7273b0b2ce72,Y,index,GCP,AWS,16.5,,,2379_477e.cram,ICAC cram,
3ec5aeb4-bd25-4aa8-83a1-96c228ec435b,,view,GCP,AWS,16.8,,,2ac4_41fa.cram,ICAC cram,crai available
8b237708-2822-4b5a-b48f-c94681c8a1a3,Y,index,AWS,AWS,16.8,,,2ac4_41fa.cram,ICAC cram,
cec3faa5-fdc5-46a5-bea1-547589855155,Y,view,GCP,AWS,16.8,,,2ac4_41fa.cram,ICAC cram,crai hidden
fecfc61a-c652-4ac5-bace-1f1563c348c3,Y,index,GCP,GCP,8.6,,,HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam,1k file,
80a09c08-3f41-4f4c-921c-ecce00ff698b,Y,index,GCP,AWS,15.4,,,d868593b-a60a-4686-9a9f-3086cc67b1a3.bam,UDN bam,
b0496543-59d3-4a68-b5a9-2be76226edda,Y,index,AWS,AWS,16.8,,,2ac4_41fa.cram,,
d8f9a984-4ef6-43a3-bb92-cc708e52dbcc,Y,index,AWS,AWS,16.5,,,2379_477e.cram,,
transferJobs/14784584213263572564,,,GCP hot,GCP hot,9.2,20,,HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam,,
transferJobs/14784584213263572564,,,GCP archive,GCP hot,9.2,313,,HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam,,
