task id,log,samtools,compute cloud,file cloud,file GB,strategy,filename,file,note,transfer,tool load,compute,input_file,state,app_name,cmd
8c043b3f-7c2d-4f56-85bc-c0852557c3b8,Y,view,AWS,AWS,15.4,,d868593b-a60a-4686-9a9f-3086cc67b1a3.bam,UDN bam,,163,9,272.0,d868593b-a60a-4686-9a9f-3086cc67b1a3.bam,COMPLETE,samtools-view-file,/opt/samtools-1.8/samtools view -c /sbgenomics/Projects/d29b24c2-f250-4268-a57f-8eba7b71cab4/d868593b-a60a-4686-9a9f-3086cc67b1a3.bam > drs_file_4_v4.txt
66db4fc1-23eb-499a-83ea-3ede2b3d920c,Y,index,GCP,AWS,16.8,,2ac4_41fa.cram,ICAC cram,,228,23,27.0,2ac4_41fa.cram,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index /sbgenomics/workspaces/deaea578-c142-48b9-9214-2a51759155a0/tasks/66db4fc1-23eb-499a-83ea-3ede2b3d920c/samtools-index-1-20/2ac4_41fa.cram
16c0e503-8abd-48b5-af8d-7273b0b2ce72,Y,index,GCP,AWS,16.5,,2379_477e.cram,ICAC cram,,190,22,28.0,2379_477e.cram,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index /sbgenomics/workspaces/deaea578-c142-48b9-9214-2a51759155a0/tasks/16c0e503-8abd-48b5-af8d-7273b0b2ce72/samtools-index-1-20/2379_477e.cram
3ec5aeb4-bd25-4aa8-83a1-96c228ec435b,Y,view,GCP,AWS,16.5,,2379_477e.cram,ICAC cram,crai available,204,17,,2379_477e.cram,EXECUTOR_ERROR,samtools-view-file,/opt/samtools-1.8/samtools view -c /sbgenomics/Projects/deaea578-c142-48b9-9214-2a51759155a0/2379_477e.cram > 2379_477e_count.txt
8b237708-2822-4b5a-b48f-c94681c8a1a3,Y,index,AWS,AWS,16.8,,2ac4_41fa.cram,ICAC cram,,468,12,152.0,2ac4_41fa.cram,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index /sbgenomics/workspaces/d29b24c2-f250-4268-a57f-8eba7b71cab4/tasks/8b237708-2822-4b5a-b48f-c94681c8a1a3/samtools-index-1-20/2ac4_41fa.cram
cec3faa5-fdc5-46a5-bea1-547589855155,Y,view,GCP,AWS,16.5,,2379_477e.cram,ICAC cram,crai hidden,189,14,,2379_477e.cram,EXECUTOR_ERROR,samtools-view-file,/opt/samtools-1.8/samtools view -c /sbgenomics/Projects/deaea578-c142-48b9-9214-2a51759155a0/2379_477e.cram > 2379_477e_count.txt
fecfc61a-c652-4ac5-bace-1f1563c348c3,Y,index,GCP,GCP,8.6,,HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam,1k file,,108,35,185.0,HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index /sbgenomics/workspaces/deaea578-c142-48b9-9214-2a51759155a0/tasks/fecfc61a-c652-4ac5-bace-1f1563c348c3/samtools-index-1-20/HG00096.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam
80a09c08-3f41-4f4c-921c-ecce00ff698b,Y,index,GCP,AWS,15.4,,d868593b-a60a-4686-9a9f-3086cc67b1a3.bam,UDN bam,,178,25,367.0,d868593b-a60a-4686-9a9f-3086cc67b1a3.bam,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index --bai /sbgenomics/workspaces/deaea578-c142-48b9-9214-2a51759155a0/tasks/80a09c08-3f41-4f4c-921c-ecce00ff698b/samtools-index-1-20/d868593b-a60a-4686-9a9f-3086cc67b1a3.bam
b0496543-59d3-4a68-b5a9-2be76226edda,Y,index,AWS,AWS,16.8,,2ac4_41fa.cram,,,462,11,152.0,2ac4_41fa.cram,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index /sbgenomics/workspaces/d29b24c2-f250-4268-a57f-8eba7b71cab4/tasks/b0496543-59d3-4a68-b5a9-2be76226edda/samtools-index-1-20/2ac4_41fa.cram
d8f9a984-4ef6-43a3-bb92-cc708e52dbcc,Y,index,AWS,AWS,16.5,,2379_477e.cram,,,455,11,152.0,2379_477e.cram,COMPLETE,samtools-index-1-20,/opt/samtools-1.20/samtools index /sbgenomics/workspaces/d29b24c2-f250-4268-a57f-8eba7b71cab4/tasks/d8f9a984-4ef6-43a3-bb92-cc708e52dbcc/samtools-index-1-20/2379_477e.cram
