,api,api version,organization name,environment,url,updatedAt,name,id,version,description,registry_id,ddate
0,drs,1.1.0,NCI Data Commons Framework Services,None,https://nci-crdc.datacommons.io/,2020-07-24T12:00:00Z,NCI DCFS,gov.nih.nci.dcfs.drs,2.12.0,"DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
1,drs,1.0.0,Seven Bridges,production,https://cavatica-ga4gh-api.sbgenomics.com,2020-09-10T00:41:57Z,Cavatica DRS API,com.sb.cavatica.drs,1.0.0,"The Data Repository Service (DRS) API provides a generic interface to data repositories so data consumers, including workflow systems, can access data in a single, standard way regardless of where it's stored and how it's managed. The primary functionality of DRS is to map a logical ID to a means for physically retrieving the data represented by the ID.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
2,drs,1.0.0,Seven Bridges,production,https://cgc-ga4gh-api.sbgenomics.com,2020-09-10T00:41:57Z,Cancer Genomics Cloud DRS API,com.sb.cgc.drs,1.0.0,"The Data Repository Service (DRS) API provides a generic interface to data repositories so data consumers, including workflow systems, can access data in a single, standard way regardless of where it's stored and how it's managed. The primary functionality of DRS is to map a logical ID to a means for physically retrieving the data represented by the ID.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
3,drs,1.1.0,AnVIL,None,https://gen3.theanvil.io/,2020-07-24T12:00:00Z,AnVIL,io.theanvil.drs,2.12.0,"DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
4,drs,1.1.0,Childrens Hospital of Philadelphia,production,https://data.kidsfirstdrc.org,2020-10-06T13:11:38Z,The Kids First Data Resource Center (KFDRC),edu.chop.kfdrc,2020.08,"Full implementation of the DRS 1.1 standard with support for persistent identifiers. Open source DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
5,drs,1.1.0,BioData Catalyst,None,https://gen3.biodatacatalyst.nhlbi.nih.gov/,2020-07-24T12:00:00Z,BioData Catalyst,gov.nih.nhlbi.biodatacatalyst.drs,2.12.0,"Full implementation of the DRS 1.1 standard with support for persistent identifiers. Open source DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
6,htsget,1.2.0,Global Alliance for Genomics and Health,production,https://htsget.ga4gh.org/variants,2020-09-04T14:40:00Z,GA4GH htsget reference server variants API,org.ga4gh.htsgetreference.variants,1.3.0,"Reference web service of the GA4GH htsget protocol. Streams variant data from public datasets, such as Tabula Muris and 1000 Genomes.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
7,htsget,1.2.0,Global Alliance for Genomics and Health,production,https://htsget.ga4gh.org/reads,2020-09-04T14:40:00Z,GA4GH htsget reference server reads API,org.ga4gh.htsgetreference.reads,1.3.0,"Reference web service of the GA4GH htsget protocol. Streams alignment data from public datasets, such as Tabula Muris and 1000 Genomes.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
8,refget,1.0.0,European Bioinformatics Institute,None,https://refget-insdc.jeremy-codes.com,None,INSDC Refget Mirror,uk.ac.ebi.insdc.refget,0.3.0,"This web service serves genomic reference sequences from the International Nucleotide Sequence Database Collaboration (INSDC) according to the Reference Sequence Retrieval (Refget) API protocol. Refget is an open protocol developed and maintained by the Global Alliance for Genomics and Health (GA4GH). The Refget protocol prescribes the access of sequences by an unambiguous, vendor-neutral identifier that is derived from a hash digest of the raw sequence content. One or more hashing functions can be supported. The following checksum identifier formats are supported by this service: GA4GH Variant Representation sequence checksum, Refget protocol Trunc512, MD5",org.ga4gh.registry,2021-01-17 09:57:00-05:00
9,refget,1.0.0,European Bioinformatics Institute,None,https://www.ebi.ac.uk/ena/cram,2020-08-07T13:19:49Z,CRAM Reference Registry,uk.ac.ebi.cram-reference-registry,1.0.0,"ENA’s CRAM Reference Registry is the original refget deployment serving CRAM’s requirements for a centralised server for reference sequence retrieval. It served as the blueprint for the refget specification. All sequences held in the INSDC resources (ENA, Genbank, DDBJ) have been checksumed against the MD5 checksum, as noted in the CRAM specification. This server hosts over 2.5 billion sequences in an Oracle database. To reduce database and server load, the CRAM reference registry is hosted behind a Squid proxy server, to provide fast access to frequently accessed sequences.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
10,refget,1.0.0,European Bioinformatics Institute,None,https://refget.herokuapp.com,2020-08-07T13:19:49Z,Refget reference implementation,uk.ac.ebi.refget.ref-impl,1.0.0,"Refget’s reference implementation is implemented in Perl and is updated with each approved change to the refget specification. The server stores metadata (e.g. sequence length, known aliases) within a RDBMS such as PostgreSQL, MySQL or SQLite through the DBIx::Class (https://metacpan.org/pod/DBIx::Class) object relational mapper, implements its application logic using the Mojolicious framework (https://metacpan.org/pod/Mojolicious) and features an extensive library of tests.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
11,refget,1.0.0,European Bioinformatics Institute,None,https://spjb6ejone.execute-api.us-east-2.amazonaws.com/Prod,2020-08-07T13:19:49Z,Serverless refget on AWS,uk.ac.ebi.refget-serverless,1.0.0,"The refget-cloud codebase used in the AWS ECS Fargate deployment has been repurposed to work in a serverless context. In this case, a refget service has been created without any provisioning of servers, VMs, or container instances. Instead, the service consists of three AWS Lambda functions (one for each endpoint in the refget specification); each function is associated with an HTTPS request route via API Gateway. The serverless refget points to the same INSDC public S3 bucket. This service is best considered as a technical demonstration to complement the above containerized service; together they illustrate how refget can be deployed in multiple contexts using cloud resources.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
12,rnaget,1.0.0,Centre for Genomic Regulation,production,https://genome.crg.cat/rnaget,None,CRG RNAget Reference Implementation,eu.crg.rnaget,1.0.0,RNAget implementation serving compliance test dataset,org.ga4gh.registry,2021-01-17 09:57:00-05:00
13,rnaget,1.0.0,California Institute of Technology,production,https://felcat.caltech.edu/rnaget,None,Caltech RNAget Reference Implementation,edu.caltech.rnaget,1.0.0,RNAget implementation serving compliance test dataset,org.ga4gh.registry,2021-01-17 09:57:00-05:00
14,search,1.0.0,DNAstack,dev,https://storage.googleapis.com/ga4gh-tables-example/tables,None,DNAstack Discovery Search test,com.dnastack.search.test,0.1.0,None,org.ga4gh.registry,2021-01-17 09:57:00-05:00
