file_name	chromosome	annotated	system	drs_id	compact_drs_id	hostbased_drs_id
CCDG_13607_B01_GRM_WGS_2019-02-19_chr1.recalibrated_variants.annotated.vcf.gz	chr1	TRUE	bdc	dg.4503/e01ca19b-ba69-4497-8a08-ecfad1dbebb2	bdc:dg.4503/e01ca19b-ba69-4497-8a08-ecfad1dbebb2	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/e01ca19b-ba69-4497-8a08-ecfad1dbebb2
CCDG_13607_B01_GRM_WGS_2019-02-19_chr1.recalibrated_variants.vcf.gz	chr1	FALSE	bdc	dg.4503/d39ce662-063f-451c-99fb-fb9ca10bdf16	bdc:dg.4503/d39ce662-063f-451c-99fb-fb9ca10bdf16	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/d39ce662-063f-451c-99fb-fb9ca10bdf16
CCDG_13607_B01_GRM_WGS_2019-02-19_chr10.recalibrated_variants.annotated.vcf.gz	chr10	TRUE	bdc	dg.4503/685739ea-e126-4914-8943-cfa200a30ff1	bdc:dg.4503/685739ea-e126-4914-8943-cfa200a30ff1	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/685739ea-e126-4914-8943-cfa200a30ff1
CCDG_13607_B01_GRM_WGS_2019-02-19_chr10.recalibrated_variants.vcf.gz	chr10	FALSE	bdc	dg.4503/57c5f23e-ceda-4846-aad8-0a85d4ebe275	bdc:dg.4503/57c5f23e-ceda-4846-aad8-0a85d4ebe275	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/57c5f23e-ceda-4846-aad8-0a85d4ebe275
CCDG_13607_B01_GRM_WGS_2019-02-19_chr11.recalibrated_variants.annotated.vcf.gz	chr11	TRUE	bdc	dg.4503/9433e657-9ca7-4f87-86c6-33de94a72e4b	bdc:dg.4503/9433e657-9ca7-4f87-86c6-33de94a72e4b	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/9433e657-9ca7-4f87-86c6-33de94a72e4b
CCDG_13607_B01_GRM_WGS_2019-02-19_chr11.recalibrated_variants.vcf.gz	chr11	FALSE	bdc	dg.4503/405bb20d-35ee-4da4-88cb-55f2c3721cff	bdc:dg.4503/405bb20d-35ee-4da4-88cb-55f2c3721cff	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/405bb20d-35ee-4da4-88cb-55f2c3721cff
CCDG_13607_B01_GRM_WGS_2019-02-19_chr12.recalibrated_variants.annotated.vcf.gz	chr12	TRUE	bdc	dg.4503/c976ce3e-2a67-4564-a436-010cac173395	bdc:dg.4503/c976ce3e-2a67-4564-a436-010cac173395	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/c976ce3e-2a67-4564-a436-010cac173395
CCDG_13607_B01_GRM_WGS_2019-02-19_chr12.recalibrated_variants.vcf.gz	chr12	FALSE	bdc	dg.4503/ac9c56fa-b3a6-4f0e-ab85-47d5695ed9ae	bdc:dg.4503/ac9c56fa-b3a6-4f0e-ab85-47d5695ed9ae	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/ac9c56fa-b3a6-4f0e-ab85-47d5695ed9ae
CCDG_13607_B01_GRM_WGS_2019-02-19_chr13.recalibrated_variants.annotated.vcf.gz	chr13	TRUE	bdc	dg.4503/7e7ece38-829f-4eb8-b528-c8cf85cd71de	bdc:dg.4503/7e7ece38-829f-4eb8-b528-c8cf85cd71de	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/7e7ece38-829f-4eb8-b528-c8cf85cd71de
CCDG_13607_B01_GRM_WGS_2019-02-19_chr13.recalibrated_variants.vcf.gz	chr13	FALSE	bdc	dg.4503/f4db0058-c0d7-46db-b5e8-15c81d71f5ef	bdc:dg.4503/f4db0058-c0d7-46db-b5e8-15c81d71f5ef	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/f4db0058-c0d7-46db-b5e8-15c81d71f5ef
CCDG_13607_B01_GRM_WGS_2019-02-19_chr14.recalibrated_variants.annotated.vcf.gz	chr14	TRUE	bdc	dg.4503/8f320fdc-ac8f-4a04-9b01-330ed6f8cfbe	bdc:dg.4503/8f320fdc-ac8f-4a04-9b01-330ed6f8cfbe	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/8f320fdc-ac8f-4a04-9b01-330ed6f8cfbe
CCDG_13607_B01_GRM_WGS_2019-02-19_chr14.recalibrated_variants.vcf.gz	chr14	FALSE	bdc	dg.4503/80d3c2d7-b3f9-41ce-9c9d-645fcaf39581	bdc:dg.4503/80d3c2d7-b3f9-41ce-9c9d-645fcaf39581	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/80d3c2d7-b3f9-41ce-9c9d-645fcaf39581
CCDG_13607_B01_GRM_WGS_2019-02-19_chr15.recalibrated_variants.annotated.vcf.gz	chr15	TRUE	bdc	dg.4503/beb8d283-ec7b-4f0b-a02a-3a6cc655b7e6	bdc:dg.4503/beb8d283-ec7b-4f0b-a02a-3a6cc655b7e6	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/beb8d283-ec7b-4f0b-a02a-3a6cc655b7e6
CCDG_13607_B01_GRM_WGS_2019-02-19_chr15.recalibrated_variants.vcf.gz	chr15	FALSE	bdc	dg.4503/7e389ce9-7fd8-4486-8dce-21d4772fde00	bdc:dg.4503/7e389ce9-7fd8-4486-8dce-21d4772fde00	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/7e389ce9-7fd8-4486-8dce-21d4772fde00
CCDG_13607_B01_GRM_WGS_2019-02-19_chr16.recalibrated_variants.annotated.vcf.gz	chr16	TRUE	bdc	dg.4503/d78c5eaa-327b-4685-a595-02c896d3b32c	bdc:dg.4503/d78c5eaa-327b-4685-a595-02c896d3b32c	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/d78c5eaa-327b-4685-a595-02c896d3b32c
CCDG_13607_B01_GRM_WGS_2019-02-19_chr16.recalibrated_variants.vcf.gz	chr16	FALSE	bdc	dg.4503/c773aeb0-c3a9-40e4-a650-b5f0cb85cb85	bdc:dg.4503/c773aeb0-c3a9-40e4-a650-b5f0cb85cb85	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/c773aeb0-c3a9-40e4-a650-b5f0cb85cb85
CCDG_13607_B01_GRM_WGS_2019-02-19_chr17.recalibrated_variants.annotated.vcf.gz	chr17	TRUE	bdc	dg.4503/063529cd-7936-4cfa-8363-31b2c8709b56	bdc:dg.4503/063529cd-7936-4cfa-8363-31b2c8709b56	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/063529cd-7936-4cfa-8363-31b2c8709b56
CCDG_13607_B01_GRM_WGS_2019-02-19_chr17.recalibrated_variants.vcf.gz	chr17	FALSE	bdc	dg.4503/3f787a10-b3dc-49ca-b790-51f91e4aa980	bdc:dg.4503/3f787a10-b3dc-49ca-b790-51f91e4aa980	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/3f787a10-b3dc-49ca-b790-51f91e4aa980
CCDG_13607_B01_GRM_WGS_2019-02-19_chr18.recalibrated_variants.annotated.vcf.gz	chr18	TRUE	bdc	dg.4503/63f0eab3-40e6-4490-9dbb-ce99f3b37bb5	bdc:dg.4503/63f0eab3-40e6-4490-9dbb-ce99f3b37bb5	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/63f0eab3-40e6-4490-9dbb-ce99f3b37bb5
CCDG_13607_B01_GRM_WGS_2019-02-19_chr18.recalibrated_variants.vcf.gz	chr18	FALSE	bdc	dg.4503/4c1b4f48-8d1a-41eb-a01e-de83edcf946c	bdc:dg.4503/4c1b4f48-8d1a-41eb-a01e-de83edcf946c	drs://gen3.biodatacatalyst.nhlbi.nih.gov/dg.4503/4c1b4f48-8d1a-41eb-a01e-de83edcf946c
